PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
WLL411;RISARALDA;LA VIRGINIA;PUBLICO
WML413;QUINDIO;ARMENIA;PUBLICO
ERL418;VALLE;LA UNION;PARTICULAR
KRL410;VALLE;GUACARI;PARTICULAR
BTL417;SANTANDER;BUCARAMANGA;PARTICULAR
TUL410;BOLIVAR;TURBACO;PUBLICO
TUL411;BOLIVAR;TURBACO;PUBLICO
TUL412;BOLIVAR;TURBACO;PUBLICO
TUL415;BOLIVAR;TURBACO;PUBLICO
TUL416;BOLIVAR;TURBACO;PUBLICO
TUL417;BOLIVAR;TURBACO;PUBLICO
TUL419;BOLIVAR;TURBACO;PUBLICO
UUL413;NORTESANTAN;CONVENCION;PUBLICO
VUL419;HUILA;NEIVA;PUBLICO
HWL413;QUINDIO;CALARCA;PARTICULAR
KWL414;ANTIOQUIA;BELLO;PARTICULAR
WWL413;TOLIMA;ESPINAL;PUBLICO
JXL419;HUILA;GARZON;PARTICULAR
CYL418;MAGDALENA;CIENAGA;PARTICULAR
FYL410;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL411;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL413;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL416;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL417;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL418;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYL419;CUNDINAMARCA;FACATATIVA;PARTICULAR
GBM411;CUNDINAMARCA;FACATATIVA;PARTICULAR
CCM419;VALLE;CALI;PARTICULAR
FCM410;CUNDINAMARCA;SOACHA;PARTICULAR
NCM411;CAUCA;PUERTO TEJAD;PARTICULAR
OCM412;VALLE;CANDELARIA;OFICIAL
OCM413;VALLE;CANDELARIA;OFICIAL
OCM415;VALLE;CANDELARIA;OFICIAL
JDM419;BOYACA;GUATEQUE;PARTICULAR
IHM415;NARINO;TUQUERRES;PARTICULAR
IHM416;NARINO;TUQUERRES;PARTICULAR
IJM412;NARINO;TUQUERRES;PARTICULAR
RKM415;VALLE;ROLDANILLO;PARTICULAR
JMM413;TOLIMA;GUAYABAL;PARTICULAR
DNM411;CALDAS;LA DORADA;PARTICULAR
FQM419;TOLIMA;FRESNO;PARTICULAR
KRM410;VALLE;GUACARI;PARTICULAR
KRM411;VALLE;GUACARI;PARTICULAR
KRM412;VALLE;GUACARI;PARTICULAR
KRM413;VALLE;GUACARI;PARTICULAR
KRM414;VALLE;GUACARI;PARTICULAR
KRM415;VALLE;GUACARI;PARTICULAR
KRM416;VALLE;GUACARI;PARTICULAR
KRM417;VALLE;GUACARI;PARTICULAR
KRM418;VALLE;GUACARI;PARTICULAR
KRM419;VALLE;GUACARI;PARTICULAR
ESM412;ATLANTICO;MALAMBO;PARTICULAR
GSM415;CAUCA;POPAYAN;PARTICULAR
