PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
SHK904;CAUCA;PATIA(ELBOR;PUBLICO
BKY331;BOLIVAR;TURBACO;PARTICULAR
MAS948;CALDAS;MANZANARES;PARTICULAR
OFK065;VALLE;FLORIDA;OFICIAL
BPI595;BOLIVAR;TURBACO;PARTICULAR
BNN548;BOLIVAR;TURBACO;PARTICULAR
BFT749;BOLIVAR;TURBACO;PARTICULAR
IPP339;SANTANDER;BARBOSA;PARTICULAR
XID392;BOYACA;DUITAMA;PUBLICO
VCT867;CALDAS;VILLAMARIA;PUBLICO
BON672;BOLIVAR;TURBACO;PARTICULAR
CSC906;BOLIVAR;ARJONA;PARTICULAR
DUA949;CESAR;VALLEDUPAR;PARTICULAR
SAZ545;BOGOTAD.E.;BOGOTA D.E.;PUBLICO
QFF217;BOYACA;TUNJA;PARTICULAR
XJE559;BOYACA;PUERTO BOYAC;PUBLICO
VNA238;VALLE;TULUA;PUBLICO
BOB875;BOLIVAR;TURBACO;PARTICULAR
SOL786;BOYACA;SOATA;PUBLICO
BVB004;BOLIVAR;TURBACO;PARTICULAR
BFL122;BOLIVAR;TURBACO;PARTICULAR
CFQ947;VALLE;CALI;PARTICULAR
SNZ545;CUNDINAMARCA;SOACHA;PUBLICO
OBP228;BOLIVAR;TURBACO;OFICIAL
BKE410;BOLIVAR;TURBACO;PARTICULAR
BMF483;BOLIVAR;TURBACO;PARTICULAR
BMN958;BOLIVAR;TURBACO;PARTICULAR
MLV300;BOYACA;MONIQUIRA;PARTICULAR
BED830;BOLIVAR;TURBACO;PARTICULAR
CIR788;CUNDINAMARCA;CHIA;PARTICULAR
TPM286;ATLANTICO;BARRANQUILLA;PUBLICO
QFP392;META;VILLAVICENCI;PARTICULAR
CIV104;CUNDINAMARCA;CHIA;PARTICULAR
TWA120;VALLE;LA UNION;OFICIAL
UFX194;MAGDALENA;SANTA MARTA;PUBLICO
URB274;NORTESANTAN;CUCUTA;PUBLICO
OAD150;NARINO;PASTO;OFICIAL
BIE340;BOLIVAR;TURBACO;PARTICULAR
GIU735;CUNDINAMARCA;CAQUEZA;PARTICULAR
ARG366;QUINDIO;ARMENIA;PARTICULAR
ZIU554;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BNX552;BOLIVAR;TURBACO;PARTICULAR
JUE926;TOLIMA;MARIQUITA;PARTICULAR
BHM810;BOLIVAR;TURBACO;PARTICULAR
BIR213;BOLIVAR;TURBACO;PARTICULAR
BIW990;BOLIVAR;TURBACO;PARTICULAR
ZGD790;SANTANDER;SAN GIL;PARTICULAR
XMC963;SANTANDER;BUCARAMANGA;PUBLICO
BJY320;BOLIVAR;TURBACO;PARTICULAR
UFZ938;MAGDALENA;SANTA MARTA;PUBLICO
DUC438;CESAR;VALLEDUPAR;PARTICULAR
RHD004;ANTIOQUIA;RIONEGRO;PARTICULAR
LMF109;ANTIOQUIA;ITAGUI;PARTICULAR
BNQ729;BOLIVAR;TURBACO;PARTICULAR
ODN810;MAGDALENA;CIENAGA;OFICIAL
BAY340;BOLIVAR;TURBACO;PARTICULAR
BKN568;BOLIVAR;TURBACO;PARTICULAR
GUO672;CAUCA;POPAYAN;PARTICULAR
BKD538;BOLIVAR;TURBACO;PARTICULAR
CKS703;QUINDIO;CALARCA;PARTICULAR
QFO376;META;VILLAVICENCI;PARTICULAR
QGY975;CUNDINAMARCA;CHIA;PARTICULAR
BDO267;BOLIVAR;TURBACO;PARTICULAR
NOT877;VALLE;TULUA;PARTICULAR
CSJ383;BOLIVAR;ARJONA;PARTICULAR
TRN505;BOYACA;MIRAFLORES;PUBLICO
XID609;BOYACA;DUITAMA;PUBLICO
SGY935;CAUCA;PATIA(ELBOR;PUBLICO
VAP717;VALLE;CALI;PUBLICO
SHN610;CAUCA;POPAYAN;PUBLICO
BIC859;BOLIVAR;TURBACO;PARTICULAR
HOR311;TOLIMA;CHAPARRAL;PARTICULAR
SFQ618;CAUCA;PATIA(ELBOR;PUBLICO
NAG369;VALLE;CALI;PARTICULAR
ATA988;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
BDW465;BOLIVAR;TURBACO;PARTICULAR
SNR543;CUNDINAMARCA;SOACHA;PUBLICO
MMN035;BOYACA;MONIQUIRA;PARTICULAR
CHY755;ANTIOQUIA;CAUCASIA;PARTICULAR
CEC495;CUNDINAMARCA;CHIA;PARTICULAR
BJZ418;BOLIVAR;TURBACO;PARTICULAR
ZIM060;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
SOF081;CUNDINAMARCA;SOACHA;PUBLICO
NAI796;VALLE;CALI;PARTICULAR
BNF681;BOLIVAR;TURBACO;PARTICULAR
QVR304;QUINDIO;QUIMBAYA;PARTICULAR
MQO822;TOLIMA;MARIQUITA;PARTICULAR
BDS958;BOLIVAR;TURBACO;PARTICULAR
FLK989;VALLE;FLORIDA;PARTICULAR
GOS804;META;VILLAVICENCI;PARTICULAR
CSV851;BOLIVAR;ARJONA;PARTICULAR
BFV549;BOLIVAR;TURBACO;PARTICULAR
BGX915;BOLIVAR;TURBACO;PARTICULAR
GNU329;ATLANTICO;PUERTO COLOM;PARTICULAR
ITG200;NORTESANTAN;CUCUTA;PARTICULAR
DYG527;CASANARE;YOPAL;PARTICULAR
BLR689;BOLIVAR;TURBACO;PARTICULAR
ZGD769;SANTANDER;SAN GIL;PARTICULAR
QFS172;META;VILLAVICENCI;PARTICULAR
SFO618;CAUCA;PATIA(ELBOR;PUBLICO
IPK611;SANTANDER;BARBOSA;PARTICULAR
MRQ389;TOLIMA;MELGAR;PARTICULAR
HNL061;CUNDINAMARCA;CHOCONTA;PARTICULAR
EKU480;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
FLH170;VALLE;FLORIDA;PARTICULAR
BHN603;BOLIVAR;TURBACO;PARTICULAR
SMB508;CUNDINAMARCA;UBATE;PUBLICO
BKD054;BOLIVAR;TURBACO;PARTICULAR
LDW240;ANTIOQUIA;MEDELLIN;PARTICULAR
MQL719;TOLIMA;MARIQUITA;PARTICULAR
XIC701;BOYACA;DUITAMA;PUBLICO
GIS001;CUNDINAMARCA;CAQUEZA;PARTICULAR
CBP743;VALLE;CALI;PARTICULAR
QFS311;META;VILLAVICENCI;PARTICULAR
IBV848;SANTANDER;BUCARAMANGA;PARTICULAR
TRH254;BOYACA;MIRAFLORES;PUBLICO
CKN852;CORDOBA;CERETE;PARTICULAR
BJY239;BOLIVAR;TURBACO;PARTICULAR
VLL341;VALLE;BUGA;PUBLICO
