RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
GMN000;GMN999;BOLIVAR;CARTAGENA;PARTICULAR
GMO000;GMQ999;BOLIVAR;CARTAGENA;PARTICULAR
GNA000;GNZ999;BOLIVAR;CARTAGENA;PARTICULAR
GOA000;GOZ999;ATLANTICO;PUERTO COLOM;PARTICULAR
GPA000;GPJ999;META;VILLAVICENCI;PARTICULAR
GQA000;GQD050;META;VILLAVICENCI;PARTICULAR
GQD051;GQE010;META;VILLAVICENCI;PARTICULAR
GQJ000;GQJ999;META;VILLAVICENCI;PARTICULAR
GQK000;GQL999;BOYACA;GUATEQUE;PARTICULAR
GQM000;GQM999;QUINDIO;ARMENIA;PARTICULAR
GQN000;GQN999;META;VILLAVICENCI;PARTICULAR
GQO000;GQO999;QUINDIO;ARMENIA;PARTICULAR
GRA000;GRH999;CUNDINAMARCA;GIRARDOT;PARTICULAR
GUA000;GUJ999;CAUCA;POPAYAN;PARTICULAR
GUK000;GUO999;VALLE;GUACARI;PARTICULAR
GVA000;GVJ999;CAUCA;POPAYAN;PARTICULAR
GWA000;GWJ999;CAUCA;POPAYAN;PARTICULAR
GXA000;GXJ999;CAUCA;POPAYAN;PARTICULAR
GYA000;GYC999;TOLIMA;GUAYABAL;PARTICULAR
GYJ000;GYJ999;LA GUAJIRA;RIOHACHA;PARTICULAR
GYK000;GYM499;TOLIMA;ALVARADO;PARTICULAR
GZA000;GZB499;HUILA;GARZON;PARTICULAR
HAA000;HAJ999;CALDAS;MANIZALES;PARTICULAR
HBA000;HBD999;CALDAS;MANIZALES;PARTICULAR
HBJ000;HBJ999;CALDAS;MANIZALES;PARTICULAR
HCA000;HCD700;CALDAS;MANIZALES;PARTICULAR
HCJ000;HCJ999;CALDAS;MANIZALES;PARTICULAR
HFA000;HFD600;CALDAS;CHINCHINA;PARTICULAR
HFJ000;HFJ999;CALDAS;CHINCHINA;PARTICULAR
HGA000;HGC200;CALDAS;LA DORADA;PARTICULAR
HGJ000;HGJ999;CALDAS;LA DORADA;PARTICULAR
HHE000;HHE900;CALDAS;ANSERMA;PARTICULAR
HIE000;HIE800;CALDAS;SALAMINA;PARTICULAR
HIJ000;HIJ600;CALDAS;RIOSUCIO;PARTICULAR
HIK000;HIR999;BOYACA;CHIQUINQUIRA;PARTICULAR
HJC000;HJC400;CALDAS;AGUADAS;PARTICULAR
HJE000;HJI999;CUNDINAMARCA;CHIA;PARTICULAR
HJJ001;HJJ650;CALDAS;MANZANARES;PARTICULAR
HKA000;HKE600;CUNDINAMARCA;CHIA;PARTICULAR
HKJ000;HKJ999;CUNDINAMARCA;CHIA;PARTICULAR
HLA000;HLJ999;RISARALDA;PEREIRA;PARTICULAR
HMA000;HMF450;RISARALDA;PEREIRA;PARTICULAR
HMF451;HMG758;RISARALDA;PEREIRA;PARTICULAR
HMJ000;HMJ999;RISARALDA;PEREIRA;PARTICULAR
HNK000;HNO999;CALDAS;CHINCHINA;PARTICULAR
HOA000;HOA999;CUNDINAMARCA;CHOCONTA;PARTICULAR
HOD000;HOF999;TOLIMA;HONDA;PARTICULAR
HOK000;HOZ999;CUNDINAMARCA;CHOCONTA;PARTICULAR
HRA000;HRB499;TOLIMA;CHAPARRAL;PARTICULAR
HSA000;HSD500;RISARALDA;ST ROSA DCA;PARTICULAR
HSJ000;HSJ999;RISARALDA;ST ROSA DCA;PARTICULAR
HTA000;HTB600;RISARALDA;LA VIRGINIA;PARTICULAR
HTE000;HTE300;SANTANDER;S VICEN CHUC;PARTICULAR
HTJ000;HTJ999;RISARALDA;LA VIRGINIA;PARTICULAR
HUA000;HUJ999;QUINDIO;ARMENIA;PARTICULAR
HUK000;HUL999;CUNDINAMARCA;UBATE;PARTICULAR
HUM000;HUZ999;CUNDINAMARCA;UBATE;PARTICULAR
HYA000;HYD500;QUINDIO;CALARCA;PARTICULAR
HYJ000;HYJ999;QUINDIO;CALARCA;PARTICULAR
HZA000;HZC000;QUINDIO;QUIMBAYA;PARTICULAR
HZE000;HZI999;ANTIOQUIA;BELLO;PARTICULAR
HZJ000;HZJ999;QUINDIO;QUIMBAYA;PARTICULAR
IAA000;IAJ999;SANTANDER;BUCARAMANGA;PARTICULAR
IAK000;IAL199;ANTIOQUIA;YARUMAL;PARTICULAR
IBA000;IBJ999;SANTANDER;BUCARAMANGA;PARTICULAR
IBK000;IBW999;TOLIMA;IBAGUE;PARTICULAR
